algorithm,matrix_size,pair_id,time_seconds,memory_before_kb,memory_after_kb,memory_difference_kb,heap_current_bytes,heap_peak_bytes,heap_allocations,is_correct,max_abs_error,max_rel_error
hybrid_divide_conquer,512,10,0.111190106,23992,23992,0,0,9633792,1022,1,3.694822225952521e-13,2.8041741432712673e-15
strassen,512,10,2.564856088,23992,23992,0,0,14680008,141237621,1,6.9690031523350626e-11,5.4369247146039025e-13
hybrid_strassen,512,10,0.093748443,23992,23992,0,0,14450688,1197,1,1.4210854715202004e-12,1.1441022266626214e-14
iterative,1024,1,3.802138505,26432,34624,8192,0,0,0,1,0,0
recursive,1024,1,29.745257674,34624,72396,37772,0,39146800,2147483646,1,1.0800249583553523e-12,4.1606400731364681e-15
hybrid_divide_conquer,1024,1,0.753939916,72396,72396,0,0,38993920,8190,1,1.1368683772161603e-12,4.3796211296173344e-15
strassen,1024,1,14.621112530,72396,91596,19200,0,58720200,988663368,1,3.1809577194508165e-10,1.2244781584596688e-12
hybrid_strassen,1024,1,0.546709658,91596,91596,0,0,58490880,8400,1,6.4233063312713057e-12,2.6018183102643313e-14
iterative,1024,2,3.495584441,91596,91596,0,0,0,0,1,0,0
recursive,1024,2,29.413024770,91596,91596,0,0,39146800,2147483646,1,1.0231815394945443e-12,3.9516554990360017e-15
hybrid_divide_conquer,1024,2,0.779681560,91596,91596,0,0,38993920,8190,1,1.0231815394945443e-12,3.9516554990360017e-15
strassen,1024,2,14.855942571,91596,91596,0,0,58720200,988663368,1,2.5187318897224031e-10,9.703987585846495e-13
hybrid_strassen,1024,2,0.525965615,91596,91596,0,0,58490880,8400,1,5.4853899200679734e-12,2.2773210427572825e-14
iterative,1024,3,3.304513573,91596,91596,0,0,0,0,1,0,0
recursive,1024,3,29.882504001,91596,91596,0,0,39146800,2147483646,1,1.0231815394945443e-12,3.8890804149411285e-15
hybrid_divide_conquer,1024,3,0.760075277,91596,91596,0,0,38993920,8190,1,1.0231815394945443e-12,3.8890804149411285e-15
strassen,1024,3,14.644582469,91596,91596,0,0,58720200,988663368,1,2.2083668227423914e-10,8.2854137584251719e-13
hybrid_strassen,1024,3,0.529897508,91596,91596,0,0,58490880,8400,1,5.7411853049416095e-12,2.2898642943096712e-14
iterative,1024,4,4.687702709,91596,91596,0,0,0,0,1,0,0
recursive,1024,4,31.163300426,91596,91596,0,0,39146800,2147483646,1,1.0231815394945443e-12,3.8946661816637311e-15
hybrid_divide_conquer,1024,4,0.773082662,91596,91596,0,0,38993920,8190,1,1.0231815394945443e-12,3.8659106405016457e-15
strassen,1024,4,15.421180621,91596,91596,0,0,58720200,988663368,1,2.2316726244753227e-10,8.697350572278269e-13
hybrid_strassen,1024,4,0.547439891,91596,91596,0,0,58490880,8400,1,5.6559201766503975e-12,2.2106754390700542e-14
iterative,1024,5,3.731299801,91596,91596,0,0,0,0,1,0,0
recursive,1024,5,29.847449638,91596,91596,0,0,39146800,2147483646,1,1.0231815394945443e-12,4.0111186635343397e-15
hybrid_divide_conquer,1024,5,0.761108319,91596,91596,0,0,38993920,8190,1,1.0231815394945443e-12,4.0111186635343397e-15
strassen,1024,5,14.627586035,91596,91596,0,0,58720200,988663368,1,2.035562829405535e-10,7.9520016954129376e-13
hybrid_strassen,1024,5,0.547097025,91596,91596,0,0,58490880,8400,1,6.0822458181064576e-12,2.3914858170793803e-14
iterative,1024,6,3.493349506,91596,91596,0,0,0,0,1,0,0
recursive,1024,6,31.576609060,91596,91596,0,0,39146800,2147483646,1,1.0231815394945443e-12,3.9161255898906576e-15
hybrid_divide_conquer,1024,6,0.867622733,91596,91596,0,0,38993920,8190,1,1.0231815394945443e-12,3.869429633720176e-15
strassen,1024,6,17.115777166,91596,91596,0,0,58720200,988663368,1,2.3641177904210053e-10,9.4054259800685281e-13
hybrid_strassen,1024,6,0.683738472,91596,91596,0,0,58490880,8400,1,6.0538241086760536e-12,2.4088947639816585e-14
iterative,1024,7,3.542299100,91596,91596,0,0,0,0,1,0,0
recursive,1024,7,29.323545582,91596,91596,0,0,39146800,2147483646,1,1.0800249583553523e-12,4.1060100227921643e-15
hybrid_divide_conquer,1024,7,0.757270152,91596,91596,0,0,38993920,8190,1,1.0800249583553523e-12,4.1600250911941934e-15
strassen,1024,7,14.584981898,91596,91596,0,0,58720200,988663368,1,2.5590907171135768e-10,9.7481344993798603e-13
hybrid_strassen,1024,7,0.528489538,91596,91596,0,0,58490880,8400,1,5.8264504332328215e-12,2.3198207078450942e-14
iterative,1024,8,3.317499610,91596,91596,0,0,0,0,1,0,0
recursive,1024,8,29.614970149,91596,91596,0,0,39146800,2147483646,1,1.1937117960769683e-12,4.3310049904260364e-15
hybrid_divide_conquer,1024,8,0.781210848,91596,91596,0,0,38993920,8190,1,1.1368683772161603e-12,4.124766657548606e-15
strassen,1024,8,14.834522087,91596,91596,0,0,58720200,988663368,1,2.3058532860886771e-10,9.4309150107817523e-13
